DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Guinea-Bissau,Portugal,10,9.482,0.948,Non-specified cocaine-type,2011.0,2015.0
Guinea-Bissau,Spain,1,0.456,0.456,Non-specified cocaine-type,2014.0,2014.0
Guinea-Bissau,Switzerland,1,1.04,1.04,Non-specified cocaine-type,2012.0,2012.0
Guyana,Ghana,1,442.029,442.029,Non-specified cocaine-type,2013.0,2013.0
Guyana,Portugal,1,178.35,178.35,Non-specified cocaine-type,2012.0,2012.0
Haiti,Spain,8,3.934,0.492,Non-specified cocaine-type,2016.0,2016.0
Honduras,El Salvador,5,210.712,42.142,Non-specified cocaine-type,2012.0,2014.0
Honduras,Spain,2,194.944,97.472,Non-specified cocaine-type,2012.0,2013.0
Hong Kong,"Macau, SAR of China",1,0.153,0.153,Non-specified cocaine-type,2016.0,2016.0
Hong Kong,Poland,1,2.05,2.05,Non-specified cocaine-type,2011.0,2011.0
Hungary,Austria,3,2.17,0.723,Non-specified cocaine-type,2012.0,2016.0
Hungary,France,1,0.333,0.333,Non-specified cocaine-type,2012.0,2012.0
Hungary,Germany,1,0.155,0.155,Non-specified cocaine-type,2012.0,2012.0
Hungary,United States,2,18.917,9.458,Non-specified cocaine-type,2012.0,2012.0
India,Hungary,2,0.434,0.217,Non-specified cocaine-type,2013.0,2013.0
India,Italy,2,1.159,0.58,Non-specified cocaine-type,2012.0,2013.0
India,Spain,3,6.435,2.145,Non-specified cocaine-type,2011.0,2014.0
Israel,Hungary,1,0.424,0.424,Non-specified cocaine-type,2013.0,2013.0
Italy,Austria,12,7.887,0.657,Non-specified cocaine-type,2012.0,2016.0
Italy,Bulgaria,1,0.001,0.001,Non-specified cocaine-type,2014.0,2014.0
Italy,Italy,2,1.7,0.85,Non-specified cocaine-type,2012.0,2015.0
Italy,Romania,2,0.329,0.165,Non-specified cocaine-type,2011.0,2014.0
Italy,Russian Federation,1,0.0,0.0,Non-specified cocaine-type,2011.0,2011.0
Italy,Spain,5,4.563,0.913,Non-specified cocaine-type,2015.0,2016.0
Jamaica,Bahamas,5,33.74,6.748,Non-specified cocaine-type,2014.0,2014.0
Jamaica,Italy,1,0.465,0.465,Non-specified cocaine-type,2012.0,2012.0
